year,est,lwr,upr,log_est,se,type,prey_group,scenario
2015,0.005529329287351542,0.004768840967541147,0.006411092878974206,-5.19768875699687,0.07549283125682875,index,Sprat,all_1
2016,0.006873011975008645,0.00596069788856726,0.007924960213000603,-4.980152844517889,0.07266198050998901,index,Sprat,all_1
2017,0.0075447083239814665,0.006552237841843064,0.00868750876691979,-4.886908845696256,0.07196039715977971,index,Sprat,all_1
2018,0.007557076675116307,0.0065813452612784725,0.008677467236005945,-4.8852708467575905,0.0705345924065007,index,Sprat,all_1
2019,0.007379487260598947,0.006421335442163725,0.008480608546279658,-4.909051119666998,0.07095949290082532,index,Sprat,all_1
2020,0.006701694745046282,0.005814927841859649,0.007723692138098415,-5.005394837549088,0.07241564928002843,index,Sprat,all_1
2021,0.0062906722160935135,0.0054822767270611495,0.007218270601882641,-5.068687343376942,0.07017856494699225,index,Sprat,all_1
2022,0.005804144724724871,0.004878449299314869,0.006905492692172227,-5.149183008929093,0.08864696932738952,index,Sprat,all_1
2023,0.005605520353587515,0.004296843434241356,0.007312777138697794,-5.184003389374182,0.1356510750391935,index,Sprat,all_1
1995,8.224933016184626e-4,6.044553015794389e-4,0.0011191815663450387,-7.10317021928683,0.15715218064346645,index,Herring,all_1
1996,0.001006144462475625,7.619892528825274e-4,0.001328531439965637,-6.901629616743805,0.14181305965538604,index,Herring,all_1
1997,0.0011660006834546763,8.925670736226807e-4,0.0015231993583392084,-6.7541756049007695,0.13634602055089373,index,Herring,all_1
1998,0.0012754100243138177,9.883514045542377e-4,0.001645842483376474,-6.664487564372876,0.13009661833869643,index,Herring,all_1
1999,0.0013459133819304816,0.0010530975040004733,0.0017201473033390954,-6.610682402036473,0.1251742652538934,index,Herring,all_1
2000,0.0014080077599817034,0.001111923859204666,0.0017829330990223745,-6.565579509910832,0.12045325801273642,index,Herring,all_1
2001,0.001501815117411037,0.001193822817407608,0.0018892658223621864,-6.501080824154563,0.11710105226933729,index,Herring,all_1
2002,0.0015011750777168152,0.0011913675844420595,0.0018915460210489577,-6.501507092415413,0.11793395720684988,index,Herring,all_1
2003,0.0014702811039345397,0.0011633420918201783,0.0018582036528951745,-6.522301669306723,0.11946986537470758,index,Herring,all_1
2004,0.0013286665125261964,0.001060442809292476,0.0016647335302187247,-6.623579461871043,0.11504765055949728,index,Herring,all_1
2005,0.0011534560799553947,9.322861546301068e-4,0.0014270950198911176,-6.764992556536651,0.10861332283715983,index,Herring,all_1
2006,0.0010604758902630694,8.627079906175886e-4,0.0013035802682483247,-6.849037518529074,0.10530641006019563,index,Herring,all_1
2007,9.768168374253133e-4,7.972324988133235e-4,0.0011968542869211548,-6.931211397984939,0.10365129557262773,index,Herring,all_1
2008,9.590977143924863e-4,7.858791343901944e-4,0.0011704960540359253,-6.949517596308501,0.10162939506159413,index,Herring,all_1
2009,0.0010156963966077553,8.310297141165546e-4,0.0012413986558575546,-6.892180796718569,0.10238158024979346,index,Herring,all_1
2010,0.0010657348622257856,8.72114442070316e-4,0.0013023414609063875,-6.844090706289607,0.10229738763171599,index,Herring,all_1
2011,0.0011316299324294066,9.332157045021642e-4,0.0013722296975845773,-6.784096267464455,0.09835788991957978,index,Herring,all_1
2012,0.0012024111429541971,0.0010021105297327486,0.0014427475950043109,-6.723426452307807,0.09297136193219491,index,Herring,all_1
2013,0.0013030578891372545,0.0010967030376340242,0.0015482403204662737,-6.64304155424591,0.087963496023951,index,Herring,all_1
2014,0.001434892714260981,0.0012116497253480238,0.001699267583994095,-6.546665196146686,0.08628079075982419,index,Herring,all_1
2015,0.0016130329618920239,0.0013607159744246683,0.0019121369815991679,-6.429639044900914,0.08678997288690497,index,Herring,all_1
2016,0.0018753148087085232,0.0015826915429139415,0.0022220410840678327,-6.278978735675172,0.08655752797357949,index,Herring,all_1
2017,0.001995972968503904,0.0016830675307522162,0.002367051837318585,-6.216623644018285,0.08699833092905514,index,Herring,all_1
2018,0.002093885021032854,0.0017728344128895813,0.002473076136963971,-6.168734076812655,0.08492073043027829,index,Herring,all_1
2019,0.002240373223802281,0.001896393465199927,0.0026467461916723427,-6.101112809225512,0.08504674827143889,index,Herring,all_1
2020,0.002245029087444752,0.0018950693540602153,0.0026596153817138165,-6.099036801326308,0.08646232414431405,index,Herring,all_1
2021,0.002287817799698048,0.001926313433482391,0.002717164399955924,-6.080156841634566,0.08775181611481984,index,Herring,all_1
2022,0.0022260618162879805,0.0018094055416197894,0.002738662558477237,-6.10752125639398,0.10573442314978478,index,Herring,all_1
2023,0.0022099165965933664,0.0016561146039552254,0.0029489090623530563,-6.114800503262638,0.14718664176461035,index,Herring,all_1
1995,0.010396665312236016,0.008568489154062966,0.012614901842222408,-4.566270167306015,0.098672062790654,index,Other,s1_1
1996,0.010128004522077754,0.008429946738536013,0.012168104826845131,-4.592450967087747,0.09363123987685568,index,Other,s1_1
1997,0.009799003178927328,0.008238889531451802,0.011654539478175017,-4.625474614915065,0.0884787150150599,index,Other,s1_1
1998,0.009357401733534877,0.007930676942259409,0.011040793596847214,-4.671587619599646,0.08440423597587554,index,Other,s1_1
1999,0.009047204598468854,0.007720921232399916,0.01060131408970659,-4.705299453131924,0.08088012818679938,index,Other,s1_1
2000,0.008689966212150046,0.007482416411747249,0.010092396441576218,-4.745586227842424,0.0763346994148595,index,Other,s1_1
2001,0.008538112345670175,0.0074353298310096735,0.009804455765129946,-4.763215332420665,0.07056099335809136,index,Other,s1_1
2002,0.00820211911980105,0.007219461661120628,0.009318528335388838,-4.803362728854984,0.0651094424084122,index,Other,s1_1
2003,0.00793260994583419,0.007051044422304017,0.008924394286000762,-4.836773174428479,0.06010638696600997,index,Other,s1_1
2004,0.007621887062293725,0.006847033384535617,0.008484428091378511,-4.876731293972479,0.054699224035772806,index,Other,s1_1
2005,0.007229192086741267,0.006545462249196341,0.007984343387423746,-4.9296279936277925,0.05069239177888076,index,Other,s1_1
2006,0.007091500770568339,0.006468266972494446,0.007774784713250257,-4.948858286568779,0.04693391122492852,index,Other,s1_1
2007,0.006760539774225486,0.006191716371209441,0.007381620103176198,-4.996652543856759,0.04484286765652989,index,Other,s1_1
2008,0.006528756409780825,0.005980200295438586,0.007127630873963583,-5.031538796436599,0.04477756816741333,index,Other,s1_1
2009,0.006332584375879143,0.0058019432241334665,0.006911757548888789,-5.062046851916786,0.04465159955616585,index,Other,s1_1
2010,0.006059323370714084,0.005553831847440668,0.006610823071246058,-5.106157140132473,0.04444470768260899,index,Other,s1_1
2011,0.005809190004647754,0.005312688858440944,0.006352092021440653,-5.14831413183946,0.04558403338253691,index,Other,s1_1
2012,0.005627644959995652,0.005144296454622176,0.006156407989922209,-5.180064226297797,0.04581841144561456,index,Other,s1_1
2013,0.0055091790626172164,0.0050466979953495425,0.00601404204728477,-5.20133965736809,0.04473625800606902,index,Other,s1_1
2014,0.005421991937941802,0.004955935821127728,0.00593187596372391,-5.2172920148227035,0.04585658252775188,index,Other,s1_1
2015,0.005346007136204968,0.0048965775099135645,0.005836687409214307,-5.231405326398181,0.04480360841657717,index,Other,s1_1
2016,0.0053013003584665526,0.004866508903602209,0.005774937649836635,-5.239803137863544,0.04366167916395543,index,Other,s1_1
